Name,City,Country
Teresa,Mabuhay,Philippines
Paul,Zhongling,China
Frank,New Haven,United States
Alice,Mendī,Ethiopia
Susan,Palca,Peru
Clarence,La Escondida,Mexico
Mary,Nagua,Dominican Republic
Andrew,Huaping,China
Jack,Linao,Philippines
Douglas,Janja,Bosnia and Herzegovina
Melissa,Bellavista,Peru
Cheryl,Kalapagenep,Indonesia
Andrea,Calauag,Philippines
Phillip,Pskov,Russia
Ryan,Taoyuan,China
Albert,Obryte,Poland
Carlos,Al ‘Āliyah,Tunisia
Nicholas,Gaoyi,China
Judy,Al Badārī,Egypt
Benjamin,Kruisfontein,South Africa
Steven,Patani,Nigeria
Heather,Misheronskiy,Russia
Carl,Katoúna,Greece
Bonnie,Suci Kaler,Indonesia
Martin,Ibaté,Brazil
George,Jagodnjak,Croatia
Joshua,Hāgere Selam,Ethiopia
Joe,Sherpur,Bangladesh
Bobby,Jetak Kulon,Indonesia
Marie,Columbus,United States
Emily,Gaoyang,China
Brian,Lyon,France
Clarence,Goiás,Brazil
Ruby,Lungaog,Philippines
Donald,Cholpon-Ata,Kyrgyzstan
Christine,Haugesund,Norway
Paul,Jadów,Poland
Gary,Hitoyoshi,Japan
Jean,Punta del Este,Uruguay
Scott,Santol,Philippines
Gary,Semeljci,Croatia
Terry,Unity,Canada
Shawn,Kaeng Khoi,Thailand
George,Stockholm,Sweden
Shirley,Fendou,China
Heather,Tuanzhou,China
Sharon,Noupoort,South Africa
Anna,Bor,South Sudan
Harold,Rencun,China
Jonathan,Stockholm,Sweden
Terry,Guadalupe,Mexico
Walter,Malicboy,Philippines
Henry,Néa Kíos,Greece
Rachel,Leština,Czech Republic
Robin,Xiaochi,China
Jessica,Bojadła,Poland
Denise,Seixo de Manhoses,Portugal
Theresa,Shencun,China
Norma,Água Retorta,Portugal
George,Linan,Philippines
Christopher,Antipino,Russia
Tina,Andrijaševci,Croatia
Jean,Zborište,Bosnia and Herzegovina
Lillian,Budapest,Hungary
Kathy,Tân Việt,Vietnam
Doris,Nový Bydžov,Czech Republic
Peter,Pisan,Indonesia
Gregory,Imġarr,Malta
Adam,Pop Shahri,Uzbekistan
Jonathan,Kopen,Indonesia
Shirley,Nova Prata,Brazil
Arthur,Xieyang,China
Amanda,San Diego,Venezuela
Carl,Harbutowice,Poland
Amy,Zhuxi,China
Andrea,Beima,China
Shirley,Urus-Martan,Russia
Phyllis,Negotino,Macedonia
Dennis,Tianzhen,China
Sean,Shicang,China
Fred,Hicksville,United States
Dorothy,Meilin,China
Frances,Zhangjia,China
Adam,Chibombo,Zambia
Evelyn,Belize City,Belize
Joseph,Furukawa,Japan
Brenda,Boavista,Portugal
Patricia,Itaparica,Brazil
Eugene,Bazzāryah,Palestinian Territory
Diane,Golovinskiy,Russia
Kathy,Croix,France
Ryan,Buenavista,Colombia
George,Omaha,United States
Samuel,Tak,Thailand
Craig,Kawayan,Philippines
Ashley,Knyazhichi,Ukraine
Pamela,Brześć Kujawski,Poland
Lawrence,Morshansk,Russia
Evelyn,Semamung,Indonesia
Paul,Lyon,France
Aaron,Foluo,China
Marilyn,Antsohimbondrona,Madagascar
Kathryn,Āgaro,Ethiopia
Jimmy,Socorro,Colombia
Benjamin,Hualfín,Argentina
Tina,Ramon’,Russia
Carol,Huchang,China
Pamela,Santo Isidro,Portugal
Diane,Altay sumu,Mongolia
Gary,Tianchi,China
